**********************************************************************

Tue Feb 24 2026 03:12:09 GMT+0000 (Coordinated Universal Time)
Communal Hallucinations - Banana Boys Chat
DM, Gordon, Jimothy, Elysium

Transcribed by SeaVoice: https://suite.seasalt.ai/voice/discord

**********************************************************************

00:00:03,100-00:00:04,130 DM:  Ah. theres still. 
00:00:03,343-00:00:03,493 DM:  Ah.  
00:00:04,963-00:00:05,513 Gordon:  All right. 
00:00:05,820-00:00:07,992 DM:  Ah. theres couple of minutes left in the turn the branch off. 
00:00:09,162-00:00:09,312 Jimothy:  Oh.  
00:00:09,470-00:00:11,397 Gordon:  All right faithfuls, it is time to vote. 
00:00:09,739-00:00:09,889 Jimothy:  Oh.  
00:00:12,295-00:00:12,445 Jimothy:  Oh.  
00:00:13,342-00:00:15,172 Jimothy:  Oh. you guys vote for me, please.  
00:00:13,677-00:00:13,827 Elysium:  Writer.  
00:00:15,540-00:00:17,500 Gordon:  Sean got that, I hope. 
00:00:17,220-00:00:17,810 Elysium:  Writer. trader.  
00:00:20,394-00:00:20,544 Jimothy:  Yeah.  
00:00:25,980-00:00:29,608 Jimothy:  Yeah. really, dont I really like this whole, this whole side quest I didnt want to go on? Um?  
00:00:30,889-00:00:31,390 Jimothy:  Um.  
00:00:31,986-00:00:32,216 Jimothy:  Um. um.  
00:00:32,131-00:00:35,641 DM:  Stupid elicium encouraging me to do the right thing. 
00:00:32,859-00:00:33,900 Elysium:  Lepacoin.  
00:00:33,268-00:00:33,858 Jimothy:  Um. um.  
00:00:35,761-00:00:36,871 Jimothy:  Ah, because I. 
00:00:38,743-00:00:40,613 Elysium:  Lepacoin. your Sean saying Hey, check it.  
00:00:39,410-00:00:39,191 Jimothy:  Uh?  
00:00:45,200-00:00:45,350 Jimothy:  Uh?  
00:00:47,439-00:00:47,589 Jimothy:  Uh?  
00:00:47,543-00:00:47,693 Jimothy:  Uh?  
00:00:49,667-00:00:52,617 Jimothy:  Uh? let me look at my my gear, Um? 
00:00:53,363-00:00:53,513 Jimothy:  Um.  
00:00:56,478-00:00:59,348 DM:  Your time is running low before were going to switch over to Alicium? 
00:01:01,251-00:01:01,401 Jimothy:  Um.  
00:01:01,620-00:01:01,212 Jimothy:  Um.  
00:01:05,206-00:01:05,516 Jimothy:  Um. right?  
00:01:10,134-00:01:10,284 Jimothy:  J.  
00:01:11,442-00:01:11,592 Jimothy:  J.  
00:01:12,198-00:01:12,348 Jimothy:  J.  
00:01:25,262-00:01:25,652 Jimothy:  J. ri.  
00:01:25,714-00:01:25,864 Jimothy:  Rift.  
00:01:29,938-00:01:30,368 Jimothy:  Rift. i.  
00:01:30,930-00:01:32,440 Jimothy:  Rift. i. that to teleport? 
00:01:33,763-00:01:33,913 Jimothy:  Yeah.  
00:01:35,760-00:01:39,186 DM:  Yeah, so the default of that spell is to teleport the target to you. 
00:01:40,185-00:01:40,455 DM:  If you. 
00:01:40,467-00:01:47,177 DM:  If try to teleport the target somewhere other than you, that would be stretching the spell and it would require disadvantaged rolls and. 
00:01:47,408-00:01:48,158 DM:  The risk. 
00:01:49,280-00:01:49,430 DM:  Grow.  
00:01:51,720-00:01:51,982 DM:  Grow. you stretch spells. 
00:01:56,971-00:01:57,121 Jimothy:  Yeah.  
00:01:57,522-00:01:57,752 Jimothy:  Yeah. right?  
00:01:57,684-00:01:58,740 DM:  I should have. 
00:01:58,604-00:01:58,754 Jimothy:  Um.  
00:01:59,142-00:02:09,652 DM:  Clarified that one time when a teleportation spell killed an entire party. it was because they stretched the teleportation spell and got an at one and that wiped the entire party. 
00:01:59,610-00:01:59,760 Gordon:  Mm.  
00:02:11,600-00:02:11,830 DM:  It wasnt. 
00:02:12,477-00:02:13,747 DM:  It in that one that caused it.  
00:02:16,290-00:02:23,339 DM:  I dont want you guys to think every time you cast a teleportation spell theres like a one in 20, chance that the whole party is going to get wiped out, thats not it. 
00:02:25,270-00:02:25,420 Jimothy:  Um.  
00:02:27,707-00:02:27,857 Jimothy:  Um.  
00:02:28,660-00:02:28,810 Jimothy:  Um.  
00:02:28,692-00:02:31,882 Jimothy:  Um. with that jimosie, Yeah, okay. 
00:02:28,790-00:02:29,740 DM:  So you? 
00:02:30,611-00:02:32,100 DM:  So just about out of time right now. 
00:02:31,832-00:02:32,822 Jimothy:  Okay, Okay, So? 
00:02:33,279-00:02:35,349 Jimothy:  So so jimothy? um? 
00:02:35,349-00:02:35,499 Jimothy:  Um.  
00:02:37,717-00:02:38,270 Jimothy:  Um. salu.  
00:02:38,787-00:02:39,570 Jimothy:  Um. salu.  
00:02:39,970-00:02:41,400 Jimothy:  To you know if? 
00:02:41,406-00:02:46,516 Jimothy:  If there are any people watching, hes like okay. salute. Im gonna head out. He B. 
00:02:47,230-00:02:52,293 Jimothy:  Off because they're they're right next to the entrance, right of this of a prison, so. 
00:02:51,275-00:02:53,105 DM:  Yeah, theyre walking right up into it. 
00:02:53,435-00:02:55,905 Jimothy:  So, so yeah, he breaks off to go and and. 
00:02:56,155-00:02:57,145 Jimothy:  You know stand. 
00:02:58,100-00:03:01,631 Jimothy:  Stand guard next to the gate as if like that's his post or something. 
00:03:02,966-00:03:03,116 Jimothy:  Um.  
00:03:02,969-00:03:03,759 Jimothy:  Um. subt.  
00:03:04,634-00:03:05,240 Jimothy:  Um. subt.  
00:03:05,766-00:03:05,916 Jimothy:  Subtly.  
00:03:10,468-00:03:10,698 Jimothy:  Subtly. he.  
00:03:11,978-00:03:14,248 Jimothy:  Subtly. he. to use his magic to stretch.  
00:03:18,293-00:03:21,403 Jimothy:  The. riff spell to get her, Oh to. 
00:03:18,399-00:03:18,549 Jimothy:  The.  
00:03:22,994-00:03:26,240 Jimothy:  To make her go elsewhere, yeah.  
00:03:24,269-00:03:25,499 DM:  Hes doing it. 
00:03:26,106-00:03:26,256 Elysium:  Okay.  
00:03:26,466-00:03:26,776 DM:  All right. 
00:03:28,160-00:03:32,870 DM:  All is gonna be two disadvantaged rolls? it's gonna to be wisdom with this advantage. 
00:03:34,612-00:03:37,200 DM:  And it is going to be luck with this advantage. 
00:03:49,650-00:03:49,800 DM:  Oh.  
00:03:51,841-00:03:51,991 Jimothy:  Okay.  
00:03:53,420-00:03:53,570 Jimothy:  Okay.  
00:03:53,611-00:03:59,121 Jimothy:  Okay. to make a shot, I took two shots last time, so I have two available to bank Um.  
00:03:59,552-00:03:59,702 DM:  Oh.  
00:03:59,834-00:04:00,904 Jimothy:  Thanking my first shot now. 
00:04:10,499-00:04:10,649 Jimothy:  Okay.  
00:04:10,731-00:04:12,841 DM:  Oh. so thats a twelve on the with them? 
00:04:11,433-00:04:12,623 Jimothy:  Okay. my wisdom roll. 
00:04:15,806-00:04:16,360 DM:  All right. 
00:04:17,172-00:04:17,962 DM:  All now luck. 
00:04:25,434-00:04:26,304 Elysium:  Okay. unlock 1212. 
00:04:25,944-00:04:26,814 Jimothy:  Twelve on the luck. 
00:04:32,550-00:04:33,245 Jimothy:  Above average for both. 
00:04:35,748-00:04:35,898 DM:  Mm.  
00:04:36,854-00:04:37,524 Elysium:  Except in Texas. 
00:04:37,130-00:04:37,163 DM:  Mm.  
00:04:37,643-00:04:37,793 DM:  Mm.  
00:04:41,685-00:04:45,155 Jimothy:  Okay, hold on. Okay, hold on. id like to do ah, um.  
00:04:45,326-00:04:46,116 Jimothy:  Um, ban. 
00:04:47,300-00:04:51,250 Jimothy:  Shot for that luck role based on your reaction just now. 
00:04:58,411-00:04:59,241 DM:  Mm. all means. 
00:04:58,432-00:04:59,822 Elysium:  Loves making you react to his reaction. 
00:04:59,284-00:05:04,740 DM:  By all means, dude, Im having heart palpitations right now Im not well okay. 
00:05:05,400-00:05:06,634 DM:  Okay, go ahead, okay? 
00:05:07,161-00:05:07,311 Elysium:  Obliterator.  
00:05:13,359-00:05:15,269 DM:  Were going to stick with the higher of the two. 
00:05:17,466-00:05:17,616 Jimothy:  Okay.  
00:05:19,387-00:05:19,537 DM:  Okay.  
00:05:19,850-00:05:19,275 Jimothy:  Okay. okay.  
00:05:20,669-00:05:25,190 DM:  Okay. that is your third bank shot, so you have maxed out now?  
00:05:23,432-00:05:23,582 Jimothy:  Yeah.  
00:05:26,710-00:05:26,860 Jimothy:  Yeah.  
00:05:35,734-00:05:35,884 DM:  So?  
00:05:37,165-00:05:37,795 DM:  So? youve rerolled. 
00:05:39,717-00:05:40,270 DM:  Ill re. 
00:05:40,750-00:05:41,620 DM:  Ill for them, okay? 
00:05:50,113-00:05:50,263 DM:  Okay.  
00:05:51,688-00:05:51,838 DM:  Okay.  
00:05:53,191-00:05:54,101 DM:  Okay. move your fingers. 
00:05:56,266-00:05:56,736 Jimothy:  Yeah. subtly.  
00:05:56,960-00:06:01,326 DM:  Trying to? actually? Oh, you're trying to do it with subtlety shit, that's gonna be a cunning robo disadvantage to. 
00:06:02,560-00:06:02,206 Jimothy:  Why?  
00:06:03,000-00:06:03,150 Jimothy:  Why?  
00:06:04,374-00:06:04,524 DM:  Because.  
